id,y
0,1
1,6
2,6
3,2
4,1
5,6
6,2
7,6
8,1
9,5
10,6
11,3
12,6
13,5
14,1
15,5
16,3
17,2
18,2
19,2
20,2
21,3
22,4
23,2
24,5
25,1
26,4
27,5
28,5
29,5
30,3
31,3
32,2
33,3
34,3
35,2
36,5
37,5
38,6
39,5
40,3
41,5
42,6
43,6
44,6
45,1
46,2
47,1
48,6
49,3
50,2
51,4
52,5
53,3
54,2
55,5
56,3
57,6
58,6
59,4
60,1
61,4
62,3
63,2
64,6
65,4
66,2
67,4
68,4
69,6
70,4
71,6
72,6
73,2
74,3
75,1
76,6
77,6
78,2
79,5
80,4
81,3
82,2
83,2
84,3
85,2
86,4
87,6
88,1
89,1
90,3
91,5
92,6
93,2
94,4
95,3
96,2
97,5
98,1
99,2
100,6
101,3
102,6
103,6
104,3
105,4
106,2
107,6
108,4
109,2
110,6
111,3
112,6
113,6
114,6
115,4
116,1
117,3
118,6
119,2
120,3
121,1
122,4
123,6
124,3
125,1
126,5
127,4
128,5
129,3
130,1
131,6
132,1
133,1
134,5
135,6
136,5
137,5
138,2
139,6
140,1
141,3
142,2
143,1
144,3
145,5
146,3
147,4
148,6
149,2
150,1
151,5
152,2
153,4
154,4
155,4
156,5
157,4
158,5
159,5
160,3
161,5
162,5
163,5
164,1
165,4
166,5
167,1
168,2
169,2
170,6
171,3
172,5
173,3
174,1
175,5
176,2
177,3
178,6
179,1
180,5
181,5
182,1
183,5
184,5
185,4
186,5
187,6
188,4
189,2
190,1
191,6
192,5
193,3
194,4
195,4
196,6
197,6
198,6
199,4
200,5
201,3
202,6
203,6
204,5
205,2
206,6
207,4
208,1
209,5
210,6
211,2
212,1
213,4
214,6
215,4
216,2
217,4
218,4
219,4
220,1
221,1
222,6
223,6
224,4
225,1
226,6
227,1
228,1
229,5
230,4
231,5
232,2
233,3
234,4
235,5
236,1
237,5
238,4
239,4
240,1
241,3
242,6
243,4
244,5
245,3
246,3
247,1
248,5
249,3
250,6
251,4
252,5
253,1
254,4
255,1
256,2
257,1
258,3
259,4
260,5
261,5
262,3
263,2
264,1
265,6
266,1
267,4
268,4
269,3
270,2
271,4
272,1
273,5
274,4
275,6
276,4
277,5
278,2
279,2
280,2
281,1
282,2
283,6
284,5
285,6
286,4
287,5
288,5
289,1
290,6
291,4
292,4
293,1
294,3
295,1
296,4
297,2
298,6
299,5
300,6
301,5
302,1
303,2
304,6
305,5
306,4
307,2
308,2
309,3
310,6
311,1
312,4
313,2
314,5
315,5
316,5
317,4
318,5
319,5
320,4
321,1
322,1
323,5
324,5
325,4
326,3
327,4
328,4
329,6
330,5
331,6
332,1
333,5
334,6
335,3
336,1
337,3
338,3
339,4
340,6
341,3
342,5
343,4
344,2
345,6
346,3
347,2
348,5
349,2
350,4
351,6
352,1
353,5
354,3
355,1
356,3
357,6
358,3
359,5
360,1
361,4
362,4
363,2
364,1
365,6
366,5
367,5
368,5
369,3
370,1
371,5
372,5
373,6
374,2
375,1
376,1
377,3
378,4
379,2
380,6
381,1
382,4
383,3
384,6
385,3
386,3
387,2
388,6
389,4
390,2
391,3
392,5
393,3
394,1
395,2
396,6
397,4
398,4
399,4
400,6
401,2
402,4
403,1
404,5
405,6
406,2
407,2
408,1
409,1
410,2
411,1
412,1
413,3
414,6
415,4
416,5
417,4
418,3
419,2
420,3
421,4
422,1
423,6
424,5
425,2
426,5
427,3
428,5
429,6
430,6
431,4
432,2
433,4
434,3
435,2
436,2
437,2
438,1
439,5
440,4
441,4
442,4
443,4
444,2
445,5
446,6
447,6
448,2
449,5
450,4
451,1
452,3
453,5
454,4
455,5
456,6
457,1
458,1
459,3
460,1
461,5
462,1
463,3
464,3
465,1
466,1
467,3
468,5
469,2
470,3
471,3
472,2
473,4
474,6
475,2
476,4
477,1
478,5
479,4
480,5
481,4
482,2
483,2
484,2
485,1
486,1
487,5
488,3
489,4
490,5
491,5
492,1
493,1
494,5
495,5
496,1
497,6
498,1
499,5
500,5
501,5
502,4
